iter	RMSE
0	14.32511771
1	13.71763352
2	13.16370776
3	12.62054238
4	12.12980264
5	11.63275085
6	11.15536342
7	10.70858296
8	10.28270746
9	9.868430891
10	9.480410477
11	9.114490321
12	8.779746019
13	8.44101766
14	8.128549681
15	7.814959235
16	7.537883053
17	7.28564481
18	7.010259726
19	6.742535858
20	6.498833152
21	6.252458754
22	6.023895529
23	5.795634988
24	5.584721919
25	5.394367353
26	5.202252606
27	5.015863618
28	4.847795952
29	4.685599201
30	4.532417916
31	4.379084641
32	4.22983139
33	4.093066818
34	3.961035475
35	3.824616195
36	3.69739777
37	3.577243165
38	3.461707641
39	3.352034476
40	3.250633401
41	3.149679113
42	3.058517
43	2.965951151
44	2.876306161
45	2.787099477
46	2.710492204
47	2.631589588
48	2.555378741
49	2.483521541
50	2.412964451
51	2.342762728
52	2.275644229
53	2.210649401
54	2.149658319
55	2.089549738
56	2.033440556
57	1.980113958
58	1.926403184
59	1.874149875
60	1.830197551
61	1.785812187
62	1.740470951
63	1.697402043
64	1.65474313
65	1.615338914
66	1.577968154
67	1.539874305
68	1.504376098
69	1.467757234
70	1.433744339
71	1.401119133
72	1.370239368
73	1.340397326
74	1.311096071
75	1.286332621
76	1.261603559
77	1.239158445
78	1.214444868
79	1.191080141
80	1.170077026
81	1.147978834
82	1.126084726
83	1.106103569
84	1.0873469
85	1.071086466
86	1.051167752
87	1.032931973
88	1.016508471
89	1.001463563
90	0.9870998043
91	0.9706718239
92	0.9551378648
93	0.9413620172
94	0.9273433011
95	0.9161257864
96	0.903941283
97	0.8927528884
98	0.8826650436
99	0.8707869466
100	0.8603732775
101	0.85076502
102	0.8412082414
103	0.8322010529
104	0.823201951
105	0.814042562
106	0.805610357
107	0.7975765416
108	0.7896347883
109	0.7829558372
110	0.7763603168
111	0.7698153939
112	0.7623001449
113	0.7560412497
114	0.7501810161
115	0.7444225068
116	0.7391155505
117	0.7343552253
118	0.7291213779
119	0.724493288
120	0.7197287973
121	0.7140886656
122	0.7098681412
123	0.705797286
124	0.7016017942
125	0.6981021932
126	0.6930768448
127	0.6892589395
128	0.6862683555
129	0.6821311239
130	0.679042312
131	0.6757316811
132	0.6722485193
133	0.6687220497
134	0.6650832112
135	0.6611134017
136	0.6575468871
137	0.6546539311
138	0.6524714098
139	0.6481952827
140	0.6455126194
141	0.6427462755
142	0.6406162503
143	0.6378617541
144	0.6361447966
145	0.6346489485
146	0.6326782962
147	0.6310694491
148	0.6287688333
149	0.6250170106
150	0.6226846566
151	0.6190681743
152	0.6176371714
153	0.6159562784
154	0.6139925862
155	0.6116746876
156	0.610397474
157	0.6073239656
158	0.6059617246
159	0.6042109425
160	0.6027718591
161	0.6011315742
162	0.5993245207
163	0.5976407263
164	0.5945481426
165	0.5925684858
166	0.5904222406
167	0.5876707856
168	0.5863991268
169	0.5847022592
170	0.5833944295
171	0.5816395432
172	0.5807557703
173	0.5780655278
174	0.5766679662
175	0.5754408973
176	0.573992653
177	0.5733154089
178	0.5713062511
179	0.5703636852
180	0.568149506
181	0.5668868432
182	0.5657243142
183	0.5647691553
