iter	Passed	Remaining
0	145	145243
1	153	76638
2	159	53100
3	169	42109
4	175	34836
5	181	29992
6	187	26580
7	192	23920
8	198	21864
9	203	20142
10	208	18757
11	214	17683
12	219	16696
13	224	15827
14	230	15118
15	235	14471
16	240	13884
17	244	13350
18	249	12886
19	253	12442
20	258	12049
21	262	11677
22	266	11323
23	270	11002
24	275	10741
25	279	10480
26	284	10235
27	288	10014
28	293	9818
29	297	9630
30	302	9442
31	306	9263
32	310	9095
33	314	8931
34	318	8779
35	322	8636
36	326	8496
37	330	8357
38	334	8230
39	337	8106
40	341	7992
41	345	7880
42	349	7775
43	353	7672
44	357	7576
45	360	7484
46	365	7401
47	369	7318
48	372	7235
49	376	7157
50	380	7083
51	384	7008
52	388	6936
53	391	6866
54	395	6797
55	399	6732
56	403	6667
57	406	6609
58	410	6554
59	414	6494
60	418	6439
61	422	6387
62	426	6340
63	430	6291
64	434	6244
65	438	6204
66	442	6158
67	446	6115
68	450	6074
69	454	6034
70	458	5993
71	462	5956
72	466	5923
73	470	5887
74	474	5849
75	478	5815
76	482	5780
77	485	5743
78	489	5708
79	493	5674
80	497	5640
81	500	5607
82	504	5575
83	508	5545
84	512	5519
85	516	5492
86	520	5463
87	524	5435
88	528	5409
89	532	5384
90	536	5360
91	540	5337
92	544	5312
93	548	5288
94	552	5264
95	556	5242
96	560	5220
97	564	5197
98	568	5173
99	572	5152
100	576	5129
101	580	5108
102	584	5087
103	588	5069
104	592	5049
105	596	5031
106	600	5013
107	604	4992
108	608	4970
109	611	4951
110	616	4934
111	619	4914
112	623	4896
113	627	4878
114	631	4861
115	635	4844
116	639	4825
117	643	4809
118	647	4793
119	651	4777
120	655	4762
121	660	4751
122	664	4736
123	668	4722
124	672	4706
125	676	4692
126	680	4676
127	684	4662
128	687	4645
129	692	4631
130	695	4616
131	699	4601
132	703	4587
133	707	4573
134	711	4561
135	715	4548
136	719	4533
137	723	4520
138	727	4505
139	731	4490
140	735	4479
141	739	4467
142	742	4452
143	746	4439
144	750	4427
145	754	4415
146	758	4404
147	762	4392
148	766	4378
149	770	4366
150	774	4354
151	778	4342
152	782	4330
153	786	4319
154	789	4306
155	793	4295
156	797	4283
157	801	4270
158	805	4261
159	809	4250
160	813	4241
161	817	4230
162	821	4219
163	826	4211
164	830	4201
165	834	4191
166	838	4182
167	842	4171
168	846	4162
169	850	4151
170	854	4142
171	858	4132
172	862	4122
173	866	4114
174	870	4104
175	874	4094
176	878	4085
177	882	4074
178	886	4064
179	890	4055
180	894	4045
181	898	4036
182	902	4027
183	906	4018
184	909	4008
185	914	4001
186	918	3991
187	921	3981
188	925	3972
189	929	3963
190	933	3954
191	937	3946
192	941	3937
193	945	3928
194	949	3919
195	953	3911
196	957	3904
197	961	3895
198	965	3887
199	969	3879
200	973	3870
201	977	3862
202	981	3854
203	985	3845
204	989	3837
205	993	3828
206	997	3820
207	1001	3812
208	1005	3804
209	1008	3794
210	1012	3786
211	1016	3778
212	1020	3770
213	1024	3762
214	1028	3753
215	1032	3746
216	1036	3739
217	1040	3731
218	1044	3723
219	1047	3715
220	1051	3706
221	1055	3700
222	1059	3691
223	1063	3684
224	1067	3677
225	1071	3670
226	1075	3662
227	1079	3656
228	1083	3648
229	1088	3642
230	1092	3635
231	1095	3627
232	1099	3620
233	1103	3612
234	1107	3606
235	1111	3599
236	1115	3592
237	1119	3583
238	1123	3576
239	1127	3568
240	1130	3561
241	1134	3554
242	1139	3548
243	1142	3540
244	1146	3533
245	1150	3526
246	1154	3519
247	1158	3513
248	1162	3505
249	1166	3498
250	1170	3492
251	1174	3485
252	1178	3478
253	1182	3471
254	1185	3464
255	1190	3458
256	1193	3451
257	1197	3445
258	1201	3437
259	1205	3430
260	1209	3423
